variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,veg_type0,n
graminoid_uwm,veg_type0TH,0.5608566156250965,0.2450233514131732,0.9984326338153778,0.31806961575940623,0.44137152813827213,0.6736798963534739,TH,360
graminoid_uwm,veg_type0X,0.48977800382578973,0.3565095997655799,-0.11470569831335288,0.9086783971438629,0.3230829455993889,0.6587777709936846,X,42
non_myrmecochorous_wm,veg_type0A,0.3657162723248422,0.3576698015939864,-1.5395164795200278,0.12367825788108944,0.2224131794710128,0.5375246536097172,A,71
non_myrmecochorous_wm,veg_type0M,0.295594727132035,0.3615178664987171,-2.401996115858822,0.016305881565895318,0.17123120378422924,0.46013417293558406,M,68
non_myrmecochorous_wm,veg_type0R,0.48244458449069455,0.2916269151188283,-0.24089182269402828,0.8096389600924575,0.34483325606559767,0.6227712975470125,R,130
non_myrmecochorous_wm,veg_type0TD_mesic,0.4194200106749029,0.27011134364634537,-1.20378045269397,0.2286744468362295,0.2984764863823813,0.550886646162434,TD_mesic,77
non_myrmecochorous_wm,veg_type0TD_wet,0.4800364297070565,0.25993904400060835,-0.30736727548763937,0.7585638337390994,0.3567798959091192,0.6057720365739512,TD_wet,210
non_myrmecochorous_wm,veg_type0TE,0.4110119702687726,0.31293733680066416,-1.149698291909556,0.25026815810949327,0.27425717983984527,0.5630531308790654,TE,74
non_myrmecochorous_wm,veg_type0TFG,0.5181845591844497,0.3359365383138516,0.21661928523006105,0.8285050551350305,0.3576328362370175,0.6750671998343721,TFG,59
non_myrmecochorous_wm,veg_type0TH,0.439063457046533,0.25500513614975523,-0.9606231346889632,0.336741692103016,0.3219631114734535,0.5633667033468445,TH,343
non_myrmecochorous_wm,veg_type0X,0.31579211791350303,0.3974700823309705,-1.945247415078852,0.0517452076616101,0.17476806955868454,0.501462344849282,X,42
non_myrmecochorous_uwm,veg_type0A,0.4224817184761506,0.32489402122012895,-0.9621411962497447,0.3359786827289203,0.27901063195035813,0.5803442325940534,A,71
non_myrmecochorous_uwm,veg_type0M,0.27874908460539827,0.2995246174960173,-3.1739462889723513,0.0015038151604071267,0.17686514276202633,0.41008413347374745,M,68
non_myrmecochorous_uwm,veg_type0R,0.3315770551112588,0.23441433174588822,-2.990691279842616,0.0027834674086800125,0.23857561869770527,0.43988784343014997,R,127
non_myrmecochorous_uwm,veg_type0TD_mesic,0.5570389294695891,0.2318723991996856,0.9882730343349356,0.3230189480863316,0.44391000014004706,0.6645450031820339,TD_mesic,77
non_myrmecochorous_uwm,veg_type0TD_wet,0.4738150214158124,0.20509169304782715,-0.5111656367956707,0.6092350784578091,0.37594206541276637,0.5737423631383661,TD_wet,210
non_myrmecochorous_uwm,veg_type0TE,0.40256900502688076,0.27860010016104275,-1.4169853639623435,0.15648720665280574,0.2807350538459257,0.5377465199981666,TE,74
non_myrmecochorous_uwm,veg_type0TFG,0.5231046192258498,0.29532962847730676,0.3131563263149285,0.7541618973265103,0.38075353262289524,0.6617986163086834,TFG,57
non_myrmecochorous_uwm,veg_type0TH,0.5091816456654501,0.201926041601782,0.18190180623522306,0.8556597869767362,0.4111926871640308,0.606470124483523,TH,343
non_myrmecochorous_uwm,veg_type0X,0.4465566523433631,0.3206902918590332,-0.6691600158095907,0.5033934091482746,0.3008750239867127,0.6020342285308871,X,42
LC_wm,veg_type0A,0.4995683945265981,0.3938296537550759,-0.004383677831141838,0.9965023423412014,0.31569690266408573,0.6835566968846079,A,73
LC_wm,veg_type0M,0.34042228056301765,0.4273108143269777,-1.5478498095950861,0.12165846096704919,0.18258564697980303,0.5439117886375375,M,64
LC_wm,veg_type0R,0.6257909378347547,0.33560111295389067,1.5321812096826077,0.12547772406347696,0.4641704245097877,0.7635005231135825,R,150
LC_wm,veg_type0TD_mesic,0.4745610371753992,0.31905310472291404,-0.31920638570122745,0.7495700149782812,0.32581465634702395,0.6279632032926536,TD_mesic,79
LC_wm,veg_type0TD_wet,0.5097243322326307,0.3141193294361395,0.12384540112734953,0.9014376835953645,0.35967837998589874,0.6580383929500807,TD_wet,194
LC_wm,veg_type0TE,0.6450330355895132,0.35947611424162235,1.6615201473562478,0.0966090259726508,0.4732048377774118,0.78614399211418,TE,74
LC_wm,veg_type0TFG,0.6147942386925787,0.3725890052665425,1.2547606008442593,0.20956567913799634,0.4346875654218467,0.7681280257934839,TFG,63
LC_wm,veg_type0TH,0.6488798324872138,0.30279368924954936,2.0281764149911266,0.042542246112118286,0.5051633898101064,0.769871141334221,TH,359
LC_wm,veg_type0X,0.6441844767242966,0.4501037739433809,1.318746410248379,0.1872539054857111,0.42834310640878603,0.8139312876286526,X,27
LC_uwm,veg_type0A,0.4429600468658144,0.3373622831702364,-0.6792620266588197,0.49697185238034075,0.29103238209061577,0.6063655980469743,A,71
LC_uwm,veg_type0M,0.3571684050041426,0.3496075636801481,-1.6809573149834895,0.09277120590708086,0.2187623136076049,0.5243663938417074,M,64
LC_uwm,veg_type0R,0.5913019874638047,0.2534146545933033,1.4574939911183993,0.14498006884372577,0.46820962689474227,0.7039197722483402,R,148
LC_uwm,veg_type0TD_mesic,0.5095219958689846,0.24896264594973386,0.1530052383366237,0.87839414433895,0.38939280916640073,0.6285614623251496,TD_mesic,79
LC_uwm,veg_type0TD_wet,0.5411224790905603,0.22981650766493777,0.7173649678417223,0.47314892961827615,0.42908880587053777,0.6491475759159654,TD_wet,194
LC_uwm,veg_type0TE,0.6581349231235505,0.2939048863668109,2.22859109821861,0.025841123882883104,0.5197274592417488,0.773999987986547,TE,74
LC_uwm,veg_type0TFG,0.5800912757444298,0.2987694451668789,1.0815968764582735,0.279431693057196,0.4347666379151407,0.7127392797910626,TFG,63
LC_uwm,veg_type0TH,0.6506528824057427,0.2206664154574484,2.8183276452262094,0.004827452081348897,0.54721194079291,0.7416205504999935,TH,359
LC_uwm,veg_type0X,0.7629504793159466,0.4093080339977504,2.855854178620332,0.004292122125523921,0.5906601462330262,0.8777349097377846,X,27
